Part,Value,Device,Package,Description
BT1,RELOWABLE_BATTERY_ML414H,RELOWABLE_BATTERY_ML414H,ML414H_IV01E,SEIKO Reflowable Lithium Batteries
C1,22pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C2,22pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C3,0.1uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C4,0.1uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C5,22pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C6,22pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C7,0.1uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C8,0.1uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C9,47pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C10,1.0uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C11,0.1uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C12,0.1uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C13,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C14,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C15,20pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C16,20pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C17,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C18,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C19,4.7uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C20,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C21,4.7uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C22,10nF,1.0UF-0805-25V-10%,805,ceramic capacitors
C23,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C24,4.7uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C25,2.2uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C26,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C27,4.7uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C28,10uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C29,10uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C30,4.7uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C31,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C32,10nF,1.0UF-0805-25V-10%,805,ceramic capacitors
C33,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C34,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C35,10uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C36,0.22uF,1.0UF-0805-25V-10%,805,ceramic capacitors
C37,12pF,1.0UF-0805-25V-10%,805,ceramic capacitors
C38,12pF,1.0UF-0805-25V-10%,805,ceramic capacitors
D1,0.5A/40V/420mV,DIODE-SCHOTTKY-PMEG4005EJ,SOD-323,Schottky diode
D2,BL-HBXJXGX32L,BL-HBXJXGX32L,LED_BL-HBXJXGX32L,
FB1,120Ω,FERRITE_BEAD-0805-220Ω-100MHZ-2A,805,"Ferrite Bead (blocks, cores, rings, chokes, etc.)"
FB2,120Ω,FERRITE_BEAD-0805-220Ω-100MHZ-2A,805,"Ferrite Bead (blocks, cores, rings, chokes, etc.)"
FB3,120Ω,FERRITE_BEAD-0805-220Ω-100MHZ-2A,805,"Ferrite Bead (blocks, cores, rings, chokes, etc.)"
J1,UJ2-MIBH-G-SMT-TR,UJ2-MIBH-G-SMT-TR,CUI_UJ2-MIBH-G-SMT-TR,
J2,B4B-XH-A(LF)(SN),B4B-XH-A(LF)(SN),JST_B4B-XH-A(LF)(SN),
K1,112J-TDAR-R01,112J-TDAR-R01,112J-TDAR-R01,
L1,4.7uH,INDUCTOR-0805_WIDE-2.2UH,0805-WIDE,Inductors
LS1,SMTB-1240-S-R,SMTB-1240-S-R,XDCR_SMTB-1240-S-R,
M1,SERVO,SERVO,1X03,Servo Motor
M2,SERVO,SERVO,1X03,Servo Motor
M3,SERVO,SERVO,1X03,Servo Motor
M4,SERVO,SERVO,1X03,Servo Motor
M5,SERVO,SERVO,1X03,Servo Motor
M6,SERVO,SERVO,1X03,Servo Motor
M7,SERVO,SERVO,1X03,Servo Motor
M8,SERVO,SERVO,1X03,Servo Motor
Q1,MOSFET-PCHANNEL,MOSFET-PCHANNEL,SOT23-3,Generic PMOSFET
Q2,IRLML6344TRPBF,IRLML6344TRPBF,SOT23,
Q3,IRLML6344TRPBF,IRLML6344TRPBF,SOT23,
Q4,IRLML6344TRPBF,IRLML6344TRPBF,SOT23,
Q5,IRLML6344TRPBF,IRLML6344TRPBF,SOT23,
Q6,IRLML6344TRPBF,IRLML6344TRPBF,SOT23,
Q7,IRLML6344TRPBF,IRLML6344TRPBF,SOT23,
R1,10k,0.3OHM-0805-1/8W-1%,805,resistor
R2,33,0.3OHM-0805-1/8W-1%,805,resistor
R3,1k,0.3OHM-0805-1/8W-1%,805,resistor
R4,2.2k,0.3OHM-0805-1/8W-1%,805,resistor
R5,2.2k,0.3OHM-0805-1/8W-1%,805,resistor
R6,100k,0.3OHM-0805-1/8W-1%,805,resistor
R7,100k,0.3OHM-0805-1/8W-1%,805,resistor
R8,2.2M,0.3OHM-0805-1/8W-1%,805,resistor
R9,1,0.3OHM-0805-1/8W-1%,805,resistor
R10,5,0.3OHM-0805-1/8W-1%,805,resistor
R11,65,0.3OHM-0805-1/8W-1%,805,resistor
R12,470,0.3OHM-0805-1/8W-1%,805,resistor
R13,1,0.3OHM-0805-1/8W-1%,805,resistor
R14,470,0.3OHM-0805-1/8W-1%,805,resistor
R15,1,0.3OHM-0805-1/8W-1%,805,resistor
R16,470,0.3OHM-0805-1/8W-1%,805,resistor
R17,1,0.3OHM-0805-1/8W-1%,805,resistor
R18,470,0.3OHM-0805-1/8W-1%,805,resistor
R19,1,0.3OHM-0805-1/8W-1%,805,resistor
R20,470,0.3OHM-0805-1/8W-1%,805,resistor
R21,1,0.3OHM-0805-1/8W-1%,805,resistor
R22,470,0.3OHM-0805-1/8W-1%,805,resistor
R23,1,0.3OHM-0805-1/8W-1%,805,resistor
R24,722,0.3OHM-0805-1/8W-1%,805,resistor
R25,1700,0.3OHM-0805-1/8W-1%,805,resistor
S1,SKRPACE010,SKRPACE010,SW_SKRPACE010,
